station_code,entity,water_body,uf,latitude,longitude,parameters,first_year,last_year,years
GO8494I15,SEMARH,Informação não disponível,GO,-17.272906,-50.121732,1,2020,2020,1
GO8494I17,SEMARH,Informação não disponível,GO,-16.973528,-50.279111,1,2020,2020,1
GO8494I2,SEMAD-GO,RIO VERDE,GO,-17.965407,-50.334604,1,2020,2020,1
GO8494I22,SEMARH,RIO DOS BOIS,GO,-18.048778,-50.196833,1,2013,2020,3
GO8494I23,SEMARH,Informação não disponível,GO,-17.699833,-50.46575,1,2020,2020,1
GO8494I25,SEMARH,Informação não disponível,GO,-16.597833,-50.187194,1,2020,2020,1
GO8494I26,SEMARH,Informação não disponível,GO,-17.495639,-50.039806,1,2020,2020,1
GO8494I3,SEMARH,Informação não disponível,GO,-17.793356,-50.161018,1,2020,2020,1
GO8494I32,SEMARH,ANICUNS,GO,-16.57322,-49.72802,1,2020,2020,1
GO8494I36,SEMARH,Informação não disponível,GO,-17.953611,-50.28,2,2015,2020,2
GO8494I5,SEMARH,Informação não disponível,GO,-17.486417,-50.069694,1,2020,2020,1
GO8494I8,SEMARH,Informação não disponível,GO,-17.205611,-50.105167,1,2020,2020,1
GO8494R34,SEMARH,Informação não disponível,GO,-17.1275,-50.638639,1,2020,2020,1
GO8495E31,SEMARH,RIO MEIA PONTE,GO,-16.64188,-49.25679,1,2020,2020,1
GO8495I1,SEMARH,RIO MEIA PONTE,GO,-16.7418,-49.14277,1,2020,2020,1
GO8495I10,SEMARH,Informação não disponível,GO,-16.612139,-49.003694,1,2020,2020,1
GO8495I17,SEMARH,Rio Meia Ponte,GO,-16.345917,-49.494972,1,2020,2020,1
GO8495I33,SEMARH,RIO DOS BOIS,GO,-18.483118,-50.039575,4,2008,2016,7
GO8495I5,SEMARH,RIO MEIA PONTE,GO,-17.01534,-49.08227,1,2020,2020,1
GO8495I7,SEMARH,RIO MEIA PONTE,GO,-18.08524,-51.62174,2,2015,2020,3
GO8495I8,SEMARH,Informação não disponível,GO,-16.804056,-49.059417,1,2020,2020,1
GO8495I9,SEMARH,RIO MEIA PONTE,GO,-16.91981,-49.11715,1,2020,2020,1
GO8495IE26,SEMARH,Informação não disponível,GO,-18.365417,-49.159111,4,2018,2020,2
