theme,title,publication_year,cited_by_count,source_display_name,source_url,doi,has_pdf,is_open_access,research_track
Poluicao e qualidade da agua,"Changes in fish species composition in the middle and lower Tietê River (São Paulo, Brazil) throughout the centuries, emphasizing rheophilic and introduced species",2018,8,Acta Limnologica Brasiliensia,http://www.scielo.br/pdf/alb/v30/2179-975X-alb-30-e310.pdf,https://doi.org/10.1590/s2179-975x0118,True,True,n3_poluicao_saneamento_efluentes_outorgas
Comportamento da bacia,Sea ice concentration variability over the Southern Ocean and its impact on precipitation in southeastern South America,2013,8,International Journal of Climatology,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/joc.3844,https://doi.org/10.1002/joc.3844,True,True,n1_geografia_bacia_jupia_ottobacias
Pressao territorial,"Evaluation of Environmental Naturalness: A Case Study in the Tietê-Jacaré Hydrographic Basin, São Paulo, Brazil",2021,7,Sustainability,https://www.mdpi.com/2071-1050/13/6/3021/pdf?version=1615376121,https://doi.org/10.3390/su13063021,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Sedimentos e turbidez,"Audiomagnetotelluric study in northeast region at Parana Basin, South America",1989,7,Geophysics,https://doi.org/10.1190/1.1442711,https://doi.org/10.1190/1.1442711,False,False,n3_sedimentos_turbidez_assoreamento_jupia
Clima e variabilidade,Spatial Analysis of Climate Change Effects on Urbanized Delta Territories as a Tool for Planning: The Case of the Lower Parana Delta,2012,6,The International Journal of Climate Change Impacts and Responses,http://resolver.tudelft.nl/uuid:f9b87498-55dd-4db2-96ae-2e2db5b18b2a,https://doi.org/10.18848/1835-7156/cgp/v03i04/37138,True,True,n2_clima_chuva_seca_jupia
Poluicao e qualidade da agua,The phytoplankton community as a descriptor of environmental variability: a case study in five reservoirs of the Paraná River basin,2022,5,Acta Limnologica Brasiliensia,https://www.scielo.br/j/alb/a/7ywRznt5QF7jmdVQXfJRmsy/?lang=en&format=pdf,https://doi.org/10.1590/s2179-975x4621,True,True,n3_poluicao_saneamento_efluentes_outorgas
Clima e variabilidade,"Imparfinis mishky (Siluriformes, Heptapteridae) a new species from the ríos Paraná and Uruguay basins in Argentina",2007,5,Revue suisse de zoologie,https://www.biodiversitylibrary.org/partpdf/80416,https://doi.org/10.5962/bhl.part.80416,True,True,n2_clima_chuva_seca_jupia
Comportamento da bacia,Riverine characteristics dictate composition of fish assemblages and limit fisheries in reservoirs of the upper Paraná River basin,2001,5,Regulated Rivers Research & Management,https://www.rcaap.pt/detail.jsp?id=oai:agregador.ibict.br.RI_UFLA:oai:localhost:1/5267,https://doi.org/10.1002/1099-1646(200101/02)17:1<67::aid-rrr615>3.3.co;2-g,False,True,n1_geografia_bacia_jupia_ottobacias
Sedimentos e turbidez,The ShearStress importance on the spatial distribution pattern of the invader Limnoperna fortunei in the Upper Paraná River Basin. - An assessment based on the Spatial Distribution Models,2016,4,Biota Neopropica/Biota Neotropica,http://www.scielo.br/pdf/bn/v16n1/1676-0611-bn-1676-0611-2014-0164.pdf,https://doi.org/10.1590/1676-0611-bn-2014-0164,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Pressao territorial,Gestão das águas subterrâneas na Bacia Hidrográfica do Alto Tietê (SP),2014,3,,http://www.teses.usp.br/teses/disponiveis/44/44138/tde-09102014-140000/publico/TESE_BrunoPiriloConicelli.pdf,https://doi.org/10.11606/t.44.2014.tde-09102014-140000,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
